1[2013-12-24 22:47:52]	ready     : 0.0054
[2013-12-24 22:47:52]	lineReady : 0.0002
[2013-12-24 22:47:52]	dataCheck : 0.0011
[2013-12-24 22:47:52]	insPost   : 0.0022
[2013-12-24 22:47:52]	delMeta   : 0
[2013-12-24 22:47:52]	addMeta   : 0.0055
[2013-12-24 22:47:52]	addOption : 0.0067
[2013-12-24 22:47:52]	addSku    : 0.0029
[2013-12-24 22:47:52]	oneline   : 0.0118
[2013-12-24 22:47:52]	finish    : 0.4428
[2013-12-24 22:47:52]	totalLines: 37
[2013-12-24 22:47:52]	--------------------------------------------------------------
